Sample,Sampling,Desc1,Desc2,Treat,Prof,Stage,Plot,Rep,sum,Rel_ab
M8955,5,MSD_FS_B,FS_B,MSD,B,FS,P07,3,0.000371862,0.037186241
M8956,5,CON_FS_B,FS_B,CON,B,FS,P08,3,0.00021692,0.021691974
M8957,5,AWD_FS_B,FS_B,AWD,B,FS,P09,3,9.29656E-05,0.00929656
M8958,5,AWD_FS_B,FS_B,AWD,B,FS,P10,4,6.19771E-05,0.006197707
M8959,5,MSD_FS_B,FS_B,MSD,B,FS,P11,4,0.000371862,0.037186241
M8960,5,CON_FS_B,FS_B,CON,B,FS,P12,4,0.000650759,0.065075922
M8961,5,MSD_FS_B,FS_B,MSD,B,FS,P13,5,0.000495817,0.049581655
M8962,5,AWD_FS_B,FS_B,AWD,B,FS,P14,5,0.000247908,0.024790827
M8963,5,CON_FS_B,FS_B,CON,B,FS,P15,5,0.000278897,0.027889681
M9217,6,AWD_FS_T,FS_T,AWD,T,FS,P01,1,0.000371862,0.037186241
M9218,6,AWD_FS_B,FS_B,AWD,B,FS,P01,1,0.000464828,0.046482801
M9219,6,MSD_FS_T,FS_T,MSD,T,FS,P02,1,0.000557794,0.055779362
M9220,6,MSD_FS_B,FS_B,MSD,B,FS,P02,1,0.000371862,0.037186241
M9221,6,CON_FS_T,FS_T,CON,T,FS,P03,1,0.000619771,0.061977068
M9222,6,CON_FS_B,FS_B,CON,B,FS,P03,1,0.000743725,0.074372482
M9223,6,MSD_FS_T,FS_T,MSD,T,FS,P04,2,0.001673381,0.167338085
M9224,6,MSD_FS_B,FS_B,MSD,B,FS,P04,2,0.000588782,0.058878215
M9225,6,AWD_FS_T,FS_T,AWD,T,FS,P05,2,0.000588782,0.058878215
M9226,6,AWD_FS_B,FS_B,AWD,B,FS,P05,2,0.000185931,0.018593121
M9227,6,CON_FS_T,FS_T,CON,T,FS,P06,2,0.001022622,0.102262163
M9228,6,CON_FS_B,FS_B,CON,B,FS,P06,2,0.000185931,0.018593121
M9229,6,MSD_FS_T,FS_T,MSD,T,FS,P07,3,0.000526805,0.052680508
M9230,6,MSD_FS_B,FS_B,MSD,B,FS,P07,3,0.000340874,0.034087388
M9231,6,CON_FS_T,FS_T,CON,T,FS,P08,3,0.000185931,0.018593121
M9232,6,CON_FS_B,FS_B,CON,B,FS,P08,3,0.000185931,0.018593121
M9233,6,AWD_FS_T,FS_T,AWD,T,FS,P09,3,0.000650759,0.065075922
M9234,6,AWD_FS_B,FS_B,AWD,B,FS,P09,3,0.000185931,0.018593121
M9235,6,AWD_FS_T,FS_T,AWD,T,FS,P10,4,0.000340874,0.034087388
M9236,6,AWD_FS_B,FS_B,AWD,B,FS,P10,4,0.000619771,0.061977068
M9237,6,MSD_FS_T,FS_T,MSD,T,FS,P11,4,0.000991633,0.09916331
M9238,6,MSD_FS_B,FS_B,MSD,B,FS,P11,4,0.000526805,0.052680508
M9239,6,CON_FS_T,FS_T,CON,T,FS,P12,4,0.001208553,0.120855284
M9240,6,CON_FS_B,FS_B,CON,B,FS,P12,4,0.000557794,0.055779362
M9241,6,MSD_FS_T,FS_T,MSD,T,FS,P13,5,0.00105361,0.105361016
M9242,6,MSD_FS_B,FS_B,MSD,B,FS,P13,5,0.000371862,0.037186241
M9243,6,AWD_FS_T,FS_T,AWD,T,FS,P14,5,0.000371862,0.037186241
M9244,6,AWD_FS_B,FS_B,AWD,B,FS,P14,5,0.000278897,0.027889681
M9245,6,CON_FS_T,FS_T,CON,T,FS,P15,5,0.001332507,0.133250697
M9246,6,CON_FS_B,FS_B,CON,B,FS,P15,5,0.000526805,0.052680508
